comment,nickname,rank,tilte
都是逛SG的？,卜要把伍打哭,23,昨晚VGJ翻盘，全屏杰尼杰尼
杰尼杰尼已经是网红了,痛经侍女,22,昨晚VGJ翻盘，全屏杰尼杰尼
#在这里快速回复#很久以前的节奏了吧？ 最近几,sspace,22,最近怎么这么多老陈的节奏
痣在必得工作室出动了吧,Gwyn,21,最近怎么这么多老陈的节奏
sk要是卡卡这阵容破费，可以他是兰姆,解冻123,13,VG这教练有什么用？
等一个内讧啊,alsace518,15,VG这教练有什么用？
哪里可以刷金币啊！！,magicfor3,22,我特么想骂人
买卡开踏马的,大兄弟抬一手,15,我特么想骂人
听不懂听不懂,dogfe416,20,飞机杯前十进
jediback 发表于 2018-3-7 11:191:1屁股倒模完爆所有飞机杯卜能这么讲，材质控和慢玩党会买大魔王，追求重量、压迫感、想尝试不同ti wei的才会入大pigu大魔王的材质，npg的通道设计是无可替代的，大pigu为了追求真实度和质量肯定要牺牲材质和通道设计,MervYn1976,21,飞机杯前十进
本主题由 Nemo_snowman 于 2017-5-24 16:55 审核通过,Diekiller,22,两年没玩SG 版主都被撸了 还是忍不住想吐个槽
???什么鬼,liepiejko,22,两年没玩SG 版主都被撸了 还是忍不住想吐个槽
造梗论坛nga          ,ggpipi,13,nga上多了啥都能想到黑话。。醉了。
看哈利波特。。you konw who因为7个魂器。。所以理论上永远死不掉。。。醉了,n十六夜咲夜,24,nga上多了啥都能想到黑话。。醉了。
那比星星强啊，好歹是传空位,crumble,23,看个新闻说nba计划再次高中生选秀
kbqjf skygl,reTard7,11,看个新闻说nba计划再次高中生选秀
大年初二还有汤姆猫的变态投票真的是太好了,ForKodo,15,如果你的前女友找你复合，你会愿意吗？
不吃回头草,batgrzl,25,如果你的前女友找你复合，你会愿意吗？
希望都能打出来，再打不出来西恩doto真的后继无人了,JH。,23,Maybe终究是能打出来的，CTY则不一定
那个人“火线复出,old鱼,13,Maybe终究是能打出来的，CTY则不一定
疯狂做耐,gay里gay气,21,阿畅和杰尼形成了一个永动机
疯狂做耐,Maybe.,12,阿畅和杰尼形成了一个永动机
利拉德还是有一股不服输的心气，关键时刻也不手软，可惜身边没什么好队友,特雷西,13,最近利拉德吃药了吧，真tm猛
他也许有资格接到来自克利夫兰的电话了,FD.TIM,15,最近利拉德吃药了吧，真tm猛
吸脂咚咚咚,sysssss,23,明天等剧本已经想好了
 明天等剧本已经想好了,天津裴勇俊,14,明天等剧本已经想好了
没有啊   都晋级了,sandya24,23,几点开始赛老师的表演啊
今天没有课了呀，后天才有,拯救大地,23,几点开始赛老师的表演啊
我觉得还行，每周都能抽点时间看看比赛很舒服,Lophers,15,现在比赛确实太多了
周五晚上先陪表弟，你可以加一个一起来啊,a1637979607,21,水友们 我被绿了吗？
说明白啊.3P你不介意,马焦666,22,水友们 我被绿了吗？
脏八得是初代吧,a4626893,24,这个论坛到底谁的投票更脏
a4626893 发表于 2018-3-6 13:33脏八得是初代吧都脏都脏建议battle,我爱龙宝川,15,这个论坛到底谁的投票更脏
一个是TI4冠军,天津裴勇俊,14,假如你是女生 你愿意嫁给 大狗还是战神7
肯定烟头狗啊，妇女之友，实诚的一b,MervYn1976,21,假如你是女生 你愿意嫁给 大狗还是战神7
还有和你一起的吗,233,23,傻狗们 给份子钱一般给多少啊
太作了恶心到人了吧,大核姜山,21,通透sccc在sg崩盘的原因
一个字，菜,jiaowodahaoren,14,通透sccc在sg崩盘的原因
蓝绫樱柔 发表于 2015-8-19 22:30我骗你什么了？当我一个人的rbq啊,【A】pologize,22,就是想把你据为己有
都是逛SG的？,尘封你的笑,23,昨晚VGJ翻盘，全屏杰尼杰尼
杰尼杰尼已经是网红了,洛弗卡雷,22,昨晚VGJ翻盘，全屏杰尼杰尼
伐木伐木,dogfe416,20,最近怎么这么多老陈的节奏
伐木伐木,做个梦给你,11,最近怎么这么多老陈的节奏
 中国队在一个赛事中出现问题很少有通过比赛能调整过来的；反观外国队（ 液体 EG 老OG ）通过调整，打怪升级，状态越来越好。队伍出现了问题，中国队的教练，到底在干啥呢，说的就是你战神7！！,bone322,23,中国队的教练到底有什么用？
这把阵容还行啊 你换sk卡卡试试,CshZyy,15,VG这教练有什么用？
CshZyy 发表于 2018-3-7 16:51这把阵容还行啊 你换sk卡卡试试真的可以吗 ，我感觉中期还是打不过,小受,20,VG这教练有什么用？
#在这里快速回复#级的小号，金币那么多啊，哪里,sspace,22,我特么想骂人
窝也很好奇金币出了买勋章还有啥消费渠道吗看到一些高等级的，没啥勋章但是金币又很少,扭曲的温拿粉,15,我特么想骂人
 没把国土打出过屎，不配进四大赛区一线队,FD.TIM,15,张志成可以作为四号位的职业门槛了
 tamatoys的尻jian和exe dx二代哪个好,天津裴勇俊,14,飞机杯前十进
招魂了招魂了,热带雨林,23,两年没玩SG 版主都被撸了 还是忍不住想吐个槽
大清亡了？！。。。,Abc_cn,22,两年没玩SG 版主都被撸了 还是忍不住想吐个槽
全世界最好的nga,这卜是小号,21,nga上多了啥都能想到黑话。。醉了。
全世界最好的nga,sspace,22,nga上多了啥都能想到黑话。。醉了。
当有队友在空位，他马上会把球传出去。,呀买碟三代,15,看个新闻说nba计划再次高中生选秀
有个留言评价詹姆斯儿子的:技术。从我们目前能看到的情况来说，小詹打球有点像他爹，传球和詹姆斯一样无私——从打球第一天就这样了。当有队友在空位，他马上会把球传出去。,n十六夜咲夜,24,看个新闻说nba计划再次高中生选秀
大年初二还有汤姆猫的变态投票真的是太好了,shadow1024,23,如果你的前女友找你复合，你会愿意吗？
大年初二还有汤姆猫的变态投票真的是太好了,hercMoray,22,如果你的前女友找你复合，你会愿意吗？
赢了冲泉，输了请教？,GQQQQ,21,Maybe终究是能打出来的，CTY则不一定
希望都能打出来，再打不出来西恩doto真的后继无人了,我是胡子白,24,Maybe终究是能打出来的，CTY则不一定
 疯狂做耐,带盾带奶百分百,20,阿畅和杰尼形成了一个永动机
杰尼杰尼,TILIKUM,14,阿畅和杰尼形成了一个永动机
我觉得利拉德还是有点神经刀像个强化版的芦苇如果身体素质再好点 也许是下个科比,yyks,15,最近利拉德吃药了吧，真tm猛
yyks 发表于 2018-3-7 14:22我觉得利拉德还是有点神经刀像个强化版的芦苇如果身体素质再好点 也许是下个科比 ...不行的防守差qjf太多 qjf比所有外线巨星都高一档并且接近帮主的点就是在9次1防,超级一大坨,24,最近利拉德吃药了吧，真tm猛
明天等剧本已经想好了,逆神路西法,26,明天等剧本已经想好了
 VG就打完了？！,zqglyjybz,15,给儿子洗个澡换完尿布
结婚离婚恋爱过有女朋友的勿扰 ，认真脸。( ･ิω･ิ),骑着乌龟过马路,21,通透，现在的妮是多少岁
       2017年，神户制钢承认对其**产品的规格数据造假，约500家客户受到影响。日本神户制钢所社长川崎博也6号宣布，因产品品质数据造假丑闻将于四月一日辞去公司董事职务。川崎博也在记者会上表示，因为造假问题令公司声誉受损，为让公司提早改革令人感到有改变，决定辞职，并再次就造假道歉。L,最后三个月,22,日本神户制钢数据造假丑闻发酵 社长将于四月辞职
 不送1血10杀誓不罢休,Mr骗子,22,国土这个SK 走哪死哪儿的咯
